,AAPL,AMZN,META,MSFT,NVDA
2024-09-04,219.20675659179688,173.3300018310547,509.7930603027344,403.2988586425781,106.1588134765625
2024-09-05,220.7253875732422,177.88999938964844,513.8893432617188,402.7958679199219,107.15834045410156
2024-09-06,219.17697143554688,171.38999938964844,497.39471435546875,396.1974792480469,102.78044128417969
2024-09-09,219.26634216308594,175.39999389648438,501.8887634277344,400.1624450683594,106.41869354248047
2024-09-10,218.47227478027344,179.5500030517578,501.8887634277344,408.52630615234375,108.04789733886719
2024-09-11,221.00332641601562,184.52000427246094,508.8883056640625,417.2451477050781,116.8536605834961
2024-09-12,221.11248779296875,187.0,522.5791625976562,421.15093994140625,119.0927734375
2024-09-13,220.844482421875,186.49000549316406,521.6047973632812,424.6917419433594,119.05278015136719
2024-09-16,214.71046447753906,184.88999938964844,530.720947265625,425.43145751953125,116.73370361328125
2024-09-17,215.1769561767578,186.8800048828125,533.7462158203125,429.18927001953125,115.54417419433594
2024-09-18,219.04794311523438,186.42999267578125,535.368408203125,424.9087219238281,113.3250503540039
2024-09-19,227.16709899902344,189.8699951171875,556.4169311523438,432.6807556152344,117.82327270507812
2024-09-20,226.5020751953125,191.60000610351562,558.6560668945312,429.3076477050781,115.95401763916016
2024-09-23,224.78492736816406,193.8800048828125,561.701416015625,427.57177734375,116.21391296386719
2024-09-24,225.67825317382812,193.9600067138672,560.6266479492188,423.29119873046875,120.82209014892578
2024-09-25,224.6856689453125,192.52999877929688,565.582763671875,426.1908874511719,123.4610366821289
2024-09-26,225.8271484375,191.16000366210938,565.1150512695312,425.4018859863281,123.99082946777344
2024-09-27,226.0951385498047,187.97000122070312,564.6372680664062,422.1569519042969,121.35187530517578
2024-09-30,231.266357421875,186.3300018310547,569.6929321289062,424.4056701660156,121.39186096191406
2024-10-01,224.52688598632812,185.1300048828125,573.7035522460938,414.9273681640625,116.95362854003906
2024-10-02,225.09262084960938,184.75999450683594,570.0611572265625,411.4161376953125,118.8028793334961
2024-10-03,223.9908905029297,181.9600067138672,579.973388671875,410.83416748046875,122.80130004882812
2024-10-04,225.1125030517578,186.50999450683594,593.080078125,410.36077880859375,124.87047576904297
2024-10-07,220.04052734375,180.8000030517578,581.9736328125,403.93011474609375,127.66936492919922
2024-10-08,224.09014892578125,182.72000122070312,590.0447998046875,409.0292663574219,132.83731079101562
2024-10-09,227.83209228515625,185.1699981689453,587.6762084960938,411.7416076660156,132.59739685058594
2024-10-10,227.33580017089844,186.64999389648438,581.0281982421875,410.143798828125,134.7565460205078
2024-10-11,225.85690307617188,188.82000732421875,587.1189575195312,410.61724853515625,134.74656677246094
2024-10-14,229.5790252685547,187.5399932861328,587.5866088867188,413.39862060546875,138.01527404785156
2024-10-15,232.1100311279297,187.69000244140625,583.45654296875,413.0040283203125,131.54783630371094
2024-10-16,230.05540466308594,186.88999938964844,574.0220947265625,410.4199523925781,135.66619873046875
2024-10-17,230.42269897460938,187.52999877929688,574.161376953125,411.0117492675781,136.87571716308594
2024-10-18,233.25149536132812,188.99000549316406,573.7035522460938,412.4320068359375,137.94529724121094
2024-10-21,234.720458984375,189.07000732421875,572.3997802734375,413.0434875488281,143.6530303955078
2024-10-22,234.10508728027344,189.6999969482422,579.2169799804688,421.6539611816406,143.53309631347656
2024-10-23,229.04302978515625,184.7100067138672,560.98486328125,418.7838134765625,139.50466918945312
2024-10-24,228.8544158935547,186.3800048828125,565.0552978515625,418.91204833984375,140.35433959960938
2024-10-25,229.6881866455078,187.8300018310547,570.4989624023438,422.28515625,141.48388671875
2024-10-28,231.66339111328125,188.38999938964844,575.385498046875,420.74652099609375,140.4643096923828
2024-10-29,231.931396484375,190.8300018310547,590.4329223632812,426.0331115722656,141.19400024414062
2024-10-30,228.387939453125,192.72999572753906,588.9599609375,426.6051940917969,139.28475952148438
2024-10-31,224.22911071777344,186.39999389648438,564.856201171875,400.78375244140625,132.70738220214844
2024-11-01,221.25144958496094,197.92999267578125,564.4381713867188,404.74871826171875,135.34632873535156
2024-11-04,220.35812377929688,195.77999877929688,557.9893188476562,402.8648376464844,135.99607849121094
2024-11-05,221.78741455078125,199.5,569.6829223632812,405.82373046875,139.8545379638672
2024-11-06,221.06285095214844,207.08999633789062,569.3046875,414.42431640625,145.55227661132812
2024-11-07,225.7874298095703,210.0500030517578,588.8604736328125,419.6024169921875,148.8209991455078
2024-11-08,225.51913452148438,208.17999267578125,586.5117797851562,416.7520446777344,147.57147216796875
2024-11-11,222.8064727783203,206.83999633789062,580.3714599609375,412.28411865234375,145.202392578125
